label,message
ham,"Great job on the presentation today, the client loved it."
spam,Make $2500 a week doing simple online surveys. Sign up free today!
spam,Congratulations! You have won a smartwatch worth $15000. Click here www.free-gift-offer.net to claim now!
spam,"Congratulations, you've been chosen for a free smartwatch cruise! Call now to claim."
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation bit.ly/xyz123
spam,Get rich quick! Earn $2500 per day working from home. No experience needed.
spam,Get rich quick! Earn $5000 per day working from home. No experience needed.
spam,You have 1 new voicemail regarding your unclaimed $10000 refund. Call now.
ham,Don't forget to pick up milk on your way home.
spam,FINAL NOTICE: Your payment of $2500 is overdue. Pay now to avoid penalty tinyurl.com/winbig
spam,Get rich quick! Earn $750 per day working from home. No experience needed.
ham,Please review the attached document and share your feedback by next week.
spam,WINNER!! As a valued network customer you have been selected to receive a cash prize!
ham,"I'll be a few minutes late, traffic is heavy today."
spam,WINNER!! As a valued network customer you have been selected to receive a car!
spam,Limited time offer! Get 40% off on all products. Shop now www.free-gift-offer.net
spam,FINAL NOTICE: Your payment of $1000 is overdue. Pay now to avoid penalty www.free-gift-offer.net
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.free-gift-offer.net
spam,"Lowest prices guaranteed on cash prize! Buy 1 get 1 free, offer ends tonight www.verify-account-now.com"
ham,"The exam syllabus has been updated, please check the portal."
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked www.claim-prize-now.com
ham,"Just checking in, how is the assignment coming along?"
ham,"The exam syllabus has been updated, please check the portal."
spam,This is not a scam! You really did win a spa weekend. Text WIN to 12345 to claim.
spam,"Claim your FREE iPhone 16 today, no purchase necessary! Limited stock, hurry up."
ham,Reminder: your dentist appointment is scheduled for Thursday at 9:30 AM.
spam,URGENT: Your account will be suspended. Verify your details immediately at www.claim-prize-now.com
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.claim-prize-now.com
ham,"Thanks for your help yesterday, really appreciate it!"
spam,"Lowest prices guaranteed on car! Buy 1 get 1 free, offer ends tonight bit.ly/xyz123"
ham,"Mom said dinner will be ready by 9:30 AM, come home soon."
spam,"Congratulations, you've been chosen for a free Amazon voucher cruise! Call now to claim."
ham,Don't forget to pick up milk on your way home.
spam,"Congratulations, you've been chosen for a free smartwatch cruise! Call now to claim."
spam,"Congratulations, you've been chosen for a free gift card cruise! Call now to claim."
spam,"Dear customer, you have won $1000 in our lucky draw. Claim before it expires!"
ham,The meeting has been confirmed for 5 PM in conference room B.
spam,Your loan of $500 has been approved. No credit check needed. Apply now tinyurl.com/winbig
ham,"Just checking in, how is the assignment coming along?"
ham,Can we reschedule our call to 9:30 AM instead?
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation tinyurl.com/winbig
ham,"Hey, are we still meeting for lunch tomorrow at 5 PM?"
ham,Let's finalize the budget numbers before next week's review.
spam,You have been selected for a FREE spa weekend! Reply YES to claim your prize now.
spam,Limited time offer! Get 60% off on all products. Shop now bit.ly/xyz123
ham,"Thanks for your help yesterday, really appreciate it!"
ham,Happy birthday! Hope you have a wonderful day.
ham,Can you help me move some furniture this weekend?
spam,URGENT: Your account will be suspended. Verify your details immediately at www.verify-account-now.com
ham,"Thanks for your help yesterday, really appreciate it!"
ham,The project deadline has been moved to next tomorrow.
spam,You have 1 new voicemail regarding your unclaimed $750 refund. Call now.
spam,Get rich quick! Earn $500 per day working from home. No experience needed.
ham,Can you help me move some furniture this weekend?
spam,You've been pre-approved for a credit card with $1000 limit. Apply instantly.
ham,"Mom said dinner will be ready by 6 PM, come home soon."
ham,"Just checking in, how is the assignment coming along?"
spam,Get rich quick! Earn $15000 per day working from home. No experience needed.
spam,This is not a scam! You really did win a spa weekend. Text WIN to 12345 to claim.
spam,This is not a scam! You really did win a cash prize. Text WIN to 12345 to claim.
ham,The meeting has been confirmed for 10 AM in conference room B.
ham,Reminder: your dentist appointment is scheduled for Thursday at 9:30 AM.
ham,Can you send me the report before the Thursday meeting?
spam,URGENT: Your account will be suspended. Verify your details immediately at bit.ly/xyz123
spam,This is not a scam! You really did win a car. Text WIN to 12345 to claim.
ham,"Mom said dinner will be ready by noon, come home soon."
ham,"Great job on the presentation today, the client loved it."
spam,Act now! Your smartwatch is waiting. Click www.free-gift-offer.net before offer expires today.
ham,"Let's catch up over coffee this Thursday, are you free?"
ham,"Thanks for sending the invoice, I'll process the payment by Thursday."
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked tinyurl.com/winbig
spam,"Dear customer, you have won $1000 in our lucky draw. Claim before it expires!"
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,Can we reschedule our call to 6 PM instead?
spam,Act now! Your vacation package is waiting. Click www.verify-account-now.com before offer expires today.
spam,"Lowest prices guaranteed on car! Buy 1 get 1 free, offer ends tonight www.claim-prize-now.com"
ham,Reminder: your dentist appointment is scheduled for tomorrow at 10 AM.
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation tinyurl.com/winbig
ham,"Let's catch up over coffee this tomorrow, are you free?"
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation tinyurl.com/winbig
spam,URGENT: Your account will be suspended. Verify your details immediately at www.claim-prize-now.com
ham,Please review the attached document and share your feedback by next week.
ham,Can you help me move some furniture this weekend?
spam,URGENT: Your account will be suspended. Verify your details immediately at www.free-gift-offer.net
spam,You have been selected for a FREE gift card! Reply YES to claim your prize now.
ham,"Just checking in, how is the assignment coming along?"
spam,FINAL NOTICE: Your payment of $2500 is overdue. Pay now to avoid penalty tinyurl.com/winbig
spam,You have been selected for a FREE laptop! Reply YES to claim your prize now.
spam,This is not a scam! You really did win a PlayStation 5. Text WIN to 12345 to claim.
ham,"I'll be a few minutes late, traffic is heavy today."
ham,The meeting has been confirmed for 5 PM in conference room B.
ham,Let's finalize the budget numbers before Friday's review.
ham,Reminder: your dentist appointment is scheduled for Friday at 10 AM.
spam,You've been pre-approved for a credit card with $200 limit. Apply instantly.
spam,"Congratulations, you've been chosen for a free smartwatch cruise! Call now to claim."
ham,"Mom said dinner will be ready by 10 AM, come home soon."
ham,Can you help me move some furniture this weekend?
ham,"The exam syllabus has been updated, please check the portal."
ham,"Thanks for sending the invoice, I'll process the payment by tomorrow."
spam,You have 1 new voicemail regarding your unclaimed $10000 refund. Call now.
spam,This is not a scam! You really did win a PlayStation 5. Text WIN to 12345 to claim.
ham,"Mom said dinner will be ready by 10 AM, come home soon."
ham,Reminder: your dentist appointment is scheduled for Friday at 6 PM.
ham,"Thanks for your help yesterday, really appreciate it!"
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation bit.ly/xyz123
spam,URGENT: Your account will be suspended. Verify your details immediately at tinyurl.com/winbig
